Comment,Designator,Footprint,LCSC,Quantity
0.1u,C10,C_0402_1005Metric,C1525,1
0.1uF,"C2,C3,C4,C5,C6,C7,C9",C_0402_1005Metric,C1525,7
100n,"C11,C12",C_0402_1005Metric,C1525,2
10K,R7,R_0402_1005Metric,C25744,1
10uF,"C13,C14",C_0402_1005Metric,C15525,2
15pF,"C15,C16",C_0402_1005Metric,C1548,2
1K,R5,R_0402_1005Metric,C11702,1
1k,"R10,R11",R_0402_1005Metric,C11702,2
1uF,C1,C_0402_1005Metric,C52923,1
2.4K,R8,R_0402_1005Metric,C25882,1
27,"R3,R4",R_0402_1005Metric,C2909343,2
3.3u,L1,L_0806_2016Metric,C42411119,1
33,R12,R_0402_1005Metric,C25105,1
4.7u,"C18,C19,C20",C_0402_1005Metric,C23733,3
5.1K,"R1,R2",R_0402_1005Metric,C25905,2
ABM8-272-T3,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731,1
LED,D1,LED_0603_1608Metric,C2286,1
LED,D2,LED_0603_1608Metric,C2290,1
RP2350A,U1,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,C42411118,1
SS14,"D3,D4,D5",D_SOD-123,C49023418,3
TP4056-42-ESOP8,U4,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,C16581,1
USB_C_Receptacle_USB2.0_14P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
W25Q128JVS,U3,SOIC-8_5.3x5.3mm_P1.27mm,C97521,1
XC6206P332MR,U5,SOT-23-3,C5446,1
reset_flash,SW1,SW_Push_SPST_NO_Alps_SKRK,C720477,1
DPAD_DOWN,SW5,SW_PUSH_6mm+6mm_Dual,,1
BTN_B,SW7,SW_PUSH_6mm+6mm_Dual,,1
BTN_A,SW6,SW_PUSH_6mm+6mm_Dual,,1
BTN_X,SW10,SW_PUSH_6mm+6mm_Dual,,1
DPAD_UP,SW2,SW_PUSH_6mm+6mm_Dual,,1
DPAD_RIGHT,SW4,SW_PUSH_6mm+6mm_Dual,,1
BTN_Y,SW13,SW_PUSH_6mm+6mm_Dual,,1
DPAD_LEFT,SW3,SW_PUSH_6mm+6mm_Dual,,1
MENU,SW8,SW_PUSH_6mm+6mm_Dual,,1
Conn_01x08_Socket,J2,1.54_ TFT Header,,1
Conn_01x01,J4,TestPoint_Pad_2.0x2.0mm,,1
SW_SPDT,SW12,SW_SLIDE-3pin_2.54_1.2mm-hole,,1
Conn_01x01,J3,TestPoint_Pad_2.0x2.0mm,,1
Conn_01x01,J5,TestPoint_Pad_2.0x2.0mm,,1
Conn_01x01,J6,TestPoint_Pad_2.0x2.0mm,,1
