Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,57.42,-65.2,0.0,top
C10,0.1u,C_0402_1005Metric,98.27,-72.8,180.0,top
C11,100n,C_0402_1005Metric,104.25,-78.6,0.0,top
C12,100n,C_0402_1005Metric,108.47,-73.45,0.0,top
C13,10uF,C_0402_1005Metric,62.68,-69.1,0.0,top
C14,10uF,C_0402_1005Metric,56.65,-68.43,90.0,top
C15,15pF,C_0402_1005Metric,97.1,-79.3,135.0,top
C16,15pF,C_0402_1005Metric,92.0,-78.95,90.0,top
C18,4.7u,C_0402_1005Metric,108.27,-69.5,0.0,top
C19,4.7u,C_0402_1005Metric,106.17,-68.3,0.0,top
C2,0.1uF,C_0402_1005Metric,107.3,-78.3,45.0,top
C20,4.7u,C_0402_1005Metric,106.2,-69.25,0.0,top
C3,0.1uF,C_0402_1005Metric,108.45,-74.5,0.0,top
C4,0.1uF,C_0402_1005Metric,98.210589,-76.089411,-135.0,top
C5,0.1uF,C_0402_1005Metric,102.9,-68.75,135.0,top
C6,0.1uF,C_0402_1005Metric,102.4,-78.65,180.0,top
C7,0.1uF,C_0402_1005Metric,108.42,-72.28,0.0,top
C9,0.1uF,C_0402_1005Metric,98.27,-71.85,180.0,top
D1,LED,LED_0603_1608Metric,63.425,-75.755,0.0,top
D2,LED,LED_0603_1608Metric,63.375,-77.355,0.0,top
D3,SS14,D_SOD-123,61.8,-65.85,90.0,top
D4,SS14,D_SOD-123,48.275,-77.705,-90.0,top
D5,SS14,D_SOD-123,52.8,-68.65,0.0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,80.0,-77.79,180.0,top
J2,Conn_01x08_Socket,1.54_ TFT Header,80.0,-31.75,0.0,top
J3,Conn_01x01,TestPoint_Pad_2.0x2.0mm,59.0,-43.0,180.0,bottom
J4,Conn_01x01,TestPoint_Pad_2.0x2.0mm,59.0,-38.0,180.0,bottom
J5,Conn_01x01,TestPoint_Pad_2.0x2.0mm,59.0,-43.0,180.0,top
J6,Conn_01x01,TestPoint_Pad_2.0x2.0mm,59.0,-38.0,180.0,top
L1,3.3u,L_0806_2016Metric,106.201472,-66.85,180.0,top
R1,5.1K,R_0402_1005Metric,73.45,-74.7,0.0,top
R10,1k,R_0402_1005Metric,60.8,-77.35,180.0,top
R11,1k,R_0402_1005Metric,60.85,-76.05,180.0,top
R12,33,R_0402_1005Metric,108.09,-68.45,180.0,top
R2,5.1K,R_0402_1005Metric,87.8,-74.05,180.0,top
R3,27,R_0402_1005Metric,103.4,-66.81,-90.0,top
R4,27,R_0402_1005Metric,102.45,-66.81,-90.0,top
R5,1K,R_0402_1005Metric,92.0,-76.85,90.0,top
R7,10K,R_0402_1005Metric,97.95,-70.3,0.0,top
R8,2.4K,R_0402_1005Metric,51.35,-76.0,180.0,top
SW1,reset_flash,SW_Push_SPST_NO_Alps_SKRK,113.35,-52.0,180.0,top
SW10,BTN_X,SW_PUSH_6mm+6mm_Dual,102.75,-52.625,0.0,top
SW12,SW_SPDT,SW_SLIDE-3pin_2.54_1.2mm-hole,46.75,-72.0,180.0,top
SW13,BTN_Y,SW_PUSH_6mm+6mm_Dual,113.25,-42.625,0.0,top
SW2,DPAD_UP,SW_PUSH_6mm+6mm_Dual,46.75,-42.625,0.0,top
SW3,DPAD_LEFT,SW_PUSH_6mm+6mm_Dual,36.25,-52.625,0.0,top
SW4,DPAD_RIGHT,SW_PUSH_6mm+6mm_Dual,57.25,-52.625,0.0,top
SW5,DPAD_DOWN,SW_PUSH_6mm+6mm_Dual,46.75,-62.625,0.0,top
SW6,BTN_A,SW_PUSH_6mm+6mm_Dual,113.25,-62.625,0.0,top
SW7,BTN_B,SW_PUSH_6mm+6mm_Dual,123.75,-52.55,0.0,top
SW8,MENU,SW_PUSH_6mm+6mm_Dual,102.25,-38.75,0.0,top
U1,RP2350A,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,103.4,-74.0,0.0,top
U3,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,101.2625,-62.195,270.0,top
U4,TP4056-42-ESOP8,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,56.1,-76.65,270.0,top
U5,XC6206P332MR,SOT-23-3,59.5625,-69.15,270.0,top
Y1,ABM8-272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,94.3,-77.9,-90.0,top
