Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,76.0,-25.52,90.0,top
C10,1uF,C_0402_1005Metric,104.02,-32.5,0.0,top
C11,0.1uF,C_0402_1005Metric,104.02,-34.5,0.0,top
C12,0.1uF,C_0402_1005Metric,104.02,-33.5,0.0,top
C13,10uF,C_0402_1005Metric,99.65,-59.5,0.0,top
C14,10uF,C_0402_1005Metric,105.67,-57.5,180.0,top
C15,30pF,C_0402_1005Metric,99.0,-33.8,90.0,top
C16,30pF,C_0402_1005Metric,94.0,-40.0,180.0,top
C17,100nF,C_0402_1005Metric,77.5,-28.5,90.0,top
C2,0.1uF,C_0402_1005Metric,77.0,-25.52,90.0,top
C3,0.1uF,C_0402_1005Metric,78.0,-25.52,90.0,top
C4,0.1uF,C_0402_1005Metric,79.0,-25.52,90.0,top
C5,0.1uF,C_0402_1005Metric,80.0,-25.52,90.0,top
C6,0.1uF,C_0402_1005Metric,81.0,-25.52,90.0,top
C7,0.1uF,C_0402_1005Metric,82.0,-25.52,90.0,top
C8,0.1uF,C_0402_1005Metric,83.0,-25.5,90.0,top
C9,0.1uF,C_0402_1005Metric,84.0,-25.5,90.0,top
D1,LED,LED_0603_1608Metric,77.2125,-54.5,0.0,top
D2,LED,LED_0603_1608Metric,77.2125,-56.0,0.0,top
D3,SS14,D_SOD-123,96.0,-58.0,0.0,top
D4,SS14,D_SOD-123,76.85,-58.0,180.0,top
D5,SS14,D_SOD-123,69.5,-50.0,180.0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,85.61,-58.99,180.0,top
J2,Conn_01x08_Socket,PinHeader_1x08_P2.54mm_Vertical,85.65,-20.0,90.0,top
J3,Conn_01x01,TestPoint_Pad_2.0x2.0mm,71.0,-24.5,0.0,top
J4,Conn_01x01,TestPoint_Pad_2.0x2.0mm,66.5,-24.5,0.0,top
R1,5.1K,R_0402_1005Metric,93.15,-60.5,-90.0,top
R10,1k,R_0402_1005Metric,74.0,-56.0,180.0,top
R11,1k,R_0402_1005Metric,74.0,-54.5,180.0,top
R2,5.1K,R_0402_1005Metric,87.0,-54.0,180.0,top
R3,27,R_0402_1005Metric,85.0,-54.0,0.0,top
R4,27,R_0402_1005Metric,97.99,-22.0,0.0,top
R5,1K,R_0402_1005Metric,92.5,-34.0,90.0,top
R6,10K,R_0402_1005Metric,65.5,-31.0,0.0,top
R7,10K,R_0402_1005Metric,68.0,-31.0,0.0,top
R8,2.4K,R_0402_1005Metric,66.0,-51.5,0.0,top
R9,10k,R_0402_1005Metric,71.5,-31.5,180.0,top
SW1,reset_flash,SW_Push_SPST_NO_Alps_SKRK,67.4,-28.5,0.0,top
SW10,POWER,SW_DIP_SPSTx01_Slide_Copal_CHS-01B_W7.62mm_P1.27mm,88.5,-49.5,180.0,top
SW11,reset_run,SW_Push_SPST_NO_Alps_SKRK,73.5,-28.5,0.0,top
SW2,DPAD_UP,SW_PUSH_6mm,77.75,-35.0,0.0,top
SW3,DPAD_LEFT,SW_PUSH_6mm,68.25,-41.75,0.0,top
SW4,DPAD_RIGHT,SW_PUSH_6mm,87.25,-41.75,0.0,top
SW5,DPAD_DOWN,SW_PUSH_6mm,77.75,-48.75,0.0,top
SW6,BTN_A,SW_PUSH_6mm,101.75,-40.5,0.0,top
SW7,BTN_B,SW_PUSH_6mm,99.75,-48.75,0.0,top
SW8,SELECT,SW_Push_SPST_NO_Alps_SKRK,104.0,-29.0,0.0,top
SW9,START,SW_Push_SPST_NO_Alps_SKRK,104.0,-25.0,0.0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,96.0625,-27.5625,0.0,top
U3,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,87.0,-33.0,180.0,top
U4,TP4056-42-ESOP8,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,69.3,-55.3,270.0,top
U5,XC6206P332MR,SOT-23-3,102.0125,-57.45,90.0,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,95.9,-34.65,0.0,top
