"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C10","2","1uF","","","","",""
"C2,C3,C4,C5,C6,C7,C8,C9,C11,C12","10","0.1uF","","","","",""
"C13,C14","2","10uF","","","","",""
"C15,C16","2","15pF","","","","",""
"D1","1","RED 0805","","","","LED_SMD:LED_0805_2012Metric",""
"D2","1","LED","","","","",""
"D3,D4","2","SS14","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88746/ss12.pdf"
"J1","1","USB_C_Receptacle_USB2.0_14P","","","","","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"R1,R2","2","5.1K","","","","",""
"R3,R4","2","27","","","","",""
"R5","1","1K","","","","",""
"R6,R7","2","10K","","","","",""
"R8","1","2.4K","","","","",""
"SW1","1","SW_Push","","","","",""
"U1","1","RP2040","","","","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf"
"U3","1","W25Q128JVS","","","","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","https://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf"
"U4","1","TP4056-42-ESOP8","","","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf"
"U5","1","XC6206P332MR","","","","Package_TO_SOT_SMD:SOT-23-3","https://www.torexsemi.com/file/xc6206/XC6206.pdf"
"Y1","1","Crystal_GND24","","","","",""
